Name,Link,Ingredients_x,Main Spirit,Flavor,Rating,Ratings Count,Ingredients_y,Color,Occasion
Legent Blossom Old Fashioned,https://www.thecocktailproject.com/drink-recipes/legent-blossom-old-fashioned,"Legent Bourbon, Sweet Vermouth, Legent Bourbon, Sweet Vermouth, Luxardo Maraschino Liqueur, Angostura Bitters, Orange Peel",Bourbon,Sweet,3,34,"Legent Bourbon, Sweet Vermouth, Legent Bourbon, Sweet Vermouth, Luxardo Maraschino Liqueur, Angostura Bitters, Orange Peel",['brown'],"['fall', 'winter']"
"Basil Hayden
Boulevardier",https://www.thecocktailproject.com/drink-recipes/basil-hayden-boulevardier,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Aperol Aperitif, Basil Hayden's Kentucky Straight Bourbon Whiskey, Aperol Aperitif, Vermouth, Sweet, Orange Peel",Bourbon,Sweet,3,43,"Basil Hayden's Kentucky Straight Bourbon Whiskey, Aperol Aperitif, Basil Hayden's Kentucky Straight Bourbon Whiskey, Aperol Aperitif, Vermouth, Sweet, Orange Peel",['red'],"['fall', 'holiday', 'thanksgiving']"
Knob Creek Old Fashioned,https://www.thecocktailproject.com/drink-recipes/knob-creek-old-fashioned,"Knob Creek, Simple Syrup, Knob Creek, Simple Syrup, Angostura Bitters, Orange Peel, Secrets of Citrus",Bourbon,Sweet,3,57,"Knob Creek, Simple Syrup, Knob Creek, Simple Syrup, Angostura Bitters, Orange Peel, Secrets of Citrus",['brown'],"['fall', 'winter']"
Pinnacle Peppermint Hot Chocolate,https://www.thecocktailproject.com/drink-recipes/peppermint-hot-chocolate,"Pinnacle Whipped Vodka, DeKuyper Peppermint Schnapps, Pinnacle Whipped Vodka, DeKuyper Peppermint Schnapps, Swiss Miss Milk Chocolate Hot Cocoa, Cherry, Simple Garnishes",Cordials,Sweet,3,36,"Pinnacle Whipped Vodka, DeKuyper Peppermint Schnapps, Pinnacle Whipped Vodka, DeKuyper Peppermint Schnapps, Swiss Miss Milk Chocolate Hot Cocoa, Cherry, Simple Garnishes",['brown'],"['christmas', 'holiday', 'winter']"
Cruzan Coquito,https://www.thecocktailproject.com/drink-recipes/cruzan-coquito,"Cruzan Aged Dark Rum, Evaporated Milk, Cruzan Aged Dark Rum, Evaporated Milk, Sweetened Condensed Milk, Cream of Coconut, Cinnamon, Nutmeg, Vanilla Extract, Shredded Coconut",Cordials,Sweet,0,0,"Cruzan Aged Dark Rum, Evaporated Milk, Cruzan Aged Dark Rum, Evaporated Milk, Sweetened Condensed Milk, Cream of Coconut, Cinnamon, Nutmeg, Vanilla Extract, Shredded Coconut",['brown'],"['christmas', 'holiday', 'winter']"
Cruzan Cranberry Cider Punch,https://www.thecocktailproject.com/drink-recipes/cruzan-cranberry-cider-punch,"Cruzan Aged Dark Rum, Apple Cider, Cruzan Aged Dark Rum, Apple Cider, Cranberry Juice, Ginger Ale, Lemon Juice, Apple Slices",Rum,Sweet,3,33,"Cruzan Aged Dark Rum, Apple Cider, Cruzan Aged Dark Rum, Apple Cider, Cranberry Juice, Ginger Ale, Lemon Juice, Apple Slices",['red'],"['christmas', 'fall', 'holiday', 'thanksgiving', 'winter']"
Pinnacle Holly Jolly Punch,https://www.thecocktailproject.com/drink-recipes/holly-jolly-punch,"DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, Cranberry Juice, Ginger Ale, Frozen orange juice concentrate, Cinnamon Allspice, Nutmeg, Cranberries",Cordials,Sweet,3,74,"DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, DeKuyper Triple Sec Liqueur, Pinnacle Original Vodka, Cranberry Juice, Ginger Ale, Frozen orange juice concentrate, Cinnamon Allspice, Nutmeg, Cranberries",['red'],"['christmas', 'fall', 'holiday', 'thanksgiving', 'winter']"
Summer Fish Bowl,https://www.thecocktailproject.com/drink-recipes/summer-fish-bowl,"Cruzan Coconut Rum, DeKuyper Blue Curacao Liqueur, Cruzan Coconut Rum, DeKuyper Blue Curacao Liqueur, Pinnacle Original Vodka, Pineapple Juice, Lemon Juice, Lemon Wedge",Cordials,Sweet,3,122,"Cruzan Coconut Rum, DeKuyper Blue Curacao Liqueur, Cruzan Coconut Rum, DeKuyper Blue Curacao Liqueur, Pinnacle Original Vodka, Pineapple Juice, Lemon Juice, Lemon Wedge",,"['bbq', 'summer']"
Still Steam,https://www.thecocktailproject.com/drink-recipes/still-steam,"Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Simple Syrup",Cordials,Sour,3,29,"Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Kilbeggan Single Grain Irish Whiskey, Lemon Juice, Simple Syrup",['yellow'],"['fall', 'holiday', 'winter']"
The Wheel,https://www.thecocktailproject.com/drink-recipes/wheel,"Kilbeggan Single Grain Irish Whiskey, Aperol Aperitif, Kilbeggan Single Grain Irish Whiskey, Aperol Aperitif, Lime Juice, Simple Syrup",Irish Whiskey,Sour,3,31,"Kilbeggan Single Grain Irish Whiskey, Aperol Aperitif, Kilbeggan Single Grain Irish Whiskey, Aperol Aperitif, Lime Juice, Simple Syrup",['orange'],"['fall', 'holiday', 'winter']"
