Name,Link,Ingredients,Main Spirit,Flavor,Rating,Ratings Count
Fuzzy Beam,https://www.thecocktailproject.com/drink-recipes/fuzzy-beam,"DeKuyper Peachtree Schnapps Liqueur, Jim Beam Original, DeKuyper Peachtree Schnapps Liqueur, Jim Beam Original, Orange Juice, Lemon",Bourbon,Sweet,3,76
Jim Beam Lemonade,https://www.thecocktailproject.com/drink-recipes/jim-beam-lemonade,"Jim Beam Original, Lemonade, Jim Beam Original, Lemonade",Whiskey,Sweet,3,91
Midori Orange and Sparkling,https://www.thecocktailproject.com/drink-recipes/midori-orange-and-sparkling,"Midori Melon Liqueur, Orange Juice, Midori Melon Liqueur, Orange Juice, Wine, Sparkling, Orange Peel, Better With Bitters",Champagne,Fruity,3,35
Blue Hawaii,https://www.thecocktailproject.com/drink-recipes/blue-hawaii,"DeKuyper Blue Curacao Liqueur, Pinnacle Original Vodka, DeKuyper Blue Curacao Liqueur, Pinnacle Original Vodka, Pineapple Juice, Sour Mix, Pineapple Wedge",Cordials,Fruity,3,51
Home Team Mojito,https://www.thecocktailproject.com/drink-recipes/home-team-mojito,"DeKuyper Pucker Sour Apple Schnapps, Cruzan Aged Light Rum, DeKuyper Pucker Sour Apple Schnapps, Cruzan Aged Light Rum, Simple Syrup, Lime Juice, Soda Water, Mint, Fresh, Carbonated Water",Cordials,Sweet,3,41
Apple Cider Float,https://www.thecocktailproject.com/drink-recipes/apple-cider-float,"DeKuyper Pucker Sour Apple Schnapps, Jim Beam Original, DeKuyper Pucker Sour Apple Schnapps, Jim Beam Original, Apple Cider, Cinnamon, Ground, Vanilla Ice Cream, Cinnamon Stick",Bourbon,Sweet,3,33
Christmas Mint Kiss,https://www.thecocktailproject.com/drink-recipes/christmas-mint-kiss,"DeKuyper Peppermint Schnapps, Hot Chocolate, DeKuyper Peppermint Schnapps, Hot Chocolate, Whipped Cream",Cordials,Hot,3,12
Purple Haze Martini,https://www.thecocktailproject.com/drink-recipes/purple-haze-martini,"DeKuyper Pucker Grape Schnapps, Pinnacle Original Vodka, DeKuyper Pucker Grape Schnapps, Pinnacle Original Vodka, Sour Mix, Lemon-Lime Soda, Grenadine",Cordials,Sour,3,57
Sauza Peach Margarita,https://www.thecocktailproject.com/drink-recipes/sauza-peach-margarita,"DeKuyper Peachtree Schnapps Liqueur, DeKuyper Triple Sec Liqueur, DeKuyper Peachtree Schnapps Liqueur, DeKuyper Triple Sec Liqueur, Sauza Silver Tequila, Sour Mix",Cordials,Fruity,3,39
New England Apple Pie,https://www.thecocktailproject.com/drink-recipes/new-england-apple-pie,"DeKuyper Hot Damn! Cinnamon Schnapps Liqueur, DeKuyper Mixologist Collection Ginger Liqueur, DeKuyper Hot Damn! Cinnamon Schnapps Liqueur, DeKuyper Mixologist Collection Ginger Liqueur, Pinnacle Vanilla Vodka",Cordials,Sweet,3,43
Candy Apple,https://www.thecocktailproject.com/drink-recipes/candy-apple,"DeKuyper Pucker Sour Apple Schnapps, DeKuyper Peachtree Schnapps Liqueur, DeKuyper Pucker Sour Apple Schnapps, DeKuyper Peachtree Schnapps Liqueur, Cranberry Juice, Orange Wheel",Cordials,Sweet,3,39
Sugar Pop Martini,https://www.thecocktailproject.com/drink-recipes/sugar-pop-martini,"Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Pinnacle Original Vodka, DeKuyper Razzmatazz Schnapps Liqueur, Lemon Juice, Simple Syrup, Carbonated Candy",Cordials,Sweet,3,34
Downward Facing Daiquiri,https://www.thecocktailproject.com/drink-recipes/downward-facing-daiquiri,"DeKuyper Pucker Watermelon Schnapps, Cruzan Aged Dark Rum, DeKuyper Pucker Watermelon Schnapps, Cruzan Aged Dark Rum, Lemon-Lime Soda, Watermelon Wedge, Mint Sprig, Sour Mix",Cordials,Sweet,3,37
